Français,Español,IPA
grandiose,grandioso,ɡʁɑ̃.djɔz
balle,bola,bal
encore,otra vez,ɑ̃.kɔʁ
vague,ola,vaɡ
tomber,caer,tɔ̃.be
cœur,corazón,kœʁ
h,silenciosa,aʃ
présent,presente,pʁe.zɑ̃
lourd,pesado,luʁ
danse,baile,dɑ̃s
moteur,motor,mɔ.tœʁ
position,posición,pɔ.zi.sjɔ̃
bras,brazo,bʁa
large,ancho,laʁʒ
voile,vela,vwal
matériel,material,ma.te.ʁjɛl
fraction,fracción,fʁak.sjɔ̃
forêt,bosque,fɔ.ʁɛ
s’asseoir,sentarse,sas.waʁ
course,carrera,kɔʁs
fenêtre,ventana,fə.nɛtʁ
magasin,tienda,ma.ɡa.zɛ̃
été,verano,e.te
train,tren,tʁɛ̃
sommeil,sueño,sɔ.mɛj
prouver,probar,pru.ve
seul,solo,sœl
jambe,pierna,ʒɑ̃b
exercice,ejercicio,ɛɡ.zɛʁ.sis
mur,pared,myʁ
capture,captura,ka.py.tyʁ
monture,montura,mɔ̃.tyʁ
souhaiter,deseo,su.ɛ.tɛ
ciel,cielo,sjɛl
conseil,consejo,kɔ̃.sɛj
joie,alegría,ʒwa
hiver,invierno,ivɛʁ
sat,satisfecho,sat
écrit,escrito,e.kʁi
sauvage,salvaje,so.vaʒ
instrument,instrumento,ɛ̃s.tʁy.mɑ̃
conservé,conservado,kɔ̃.sɛʁ.ve
verre,vidrio,vɛʁ
herbe,hierba,ɛʁb
vache,vaca,vɑʃ
emploi,empleo,ɑ̃.plwa
bord,borde,bɔʁ
signe,signo,siɲ
visite,visita,vi.zit
passé,pasado,pɑ.se
doux,suave,du
amusement,diversión,a.myz.mɑ̃
clair,claro,klɛʁ
gaz,gas,ɡaz
temps,tiempo,tɑ̃
mois,mes,mwa
million,millón,mi.ljɔ̃
porter,llevar,pɔʁ.te
finition,acabado,fi.ni.sjɔ̃
heureux,feliz,œ.ʁø
espoir,esperanza,ɛs.pwaʁ
fleur,flor,flœʁ
vêtir,vestir,vɛ.tiʁ
étrange,extraño,e.tʁɑ̃ʒ
disparu,desaparecido,dis.pa.ʁy
commerce,comercio,kɔ.mɛʁs
mélodie,melodía,me.lɔ.di
voyage,viaje,vɔ.jaʒ
bureau,oficina,byʁ.o
recevoir,recibir,ʁə.sə.vwaʁ
rangée,fila,rɑ̃.ʒe
bouche,boca,buʃ
exact,exacto,ɛɡ.zakt
symbole,símbolo,sɛ̃.bɔl
mourir,morir,mu.ʁiʁ
moins,menos,mwɛ̃
difficulté,dificultad,di.fi.kyl.te
cri,grito,kʁi
sauf,excepto,sof
écrit,escrito,e.kʁi
semence,semilla,sə.mɑ̃s
ton,tu,tɔ̃
joindre,unir,ʒwɛ̃dʁ
suggérer,sugerir,sy.ʒe.ʁe
propre,propio,pʁɔpʁ
pause,pausa,poːz
dame,dama,dam
cour,tribunal,kuʁ
augmenter,aumentar,oɡ.mɑ̃.te
mauvais,malo,mo.vɛ
coup,golpe,ku
huile,aceite,ɥil
sang,sangre,sɑ̃ɡ
toucher,tocar,tu.ʃe
a augmenté,aumentado,oɡ.mɑ̃.te
cent,cien,sɑ̃
mélanger,mezclar,me.lɑ̃.ʒe
équipe,equipo,e.kip
fil,hilo,fil
coût,costo,kut
perdu,perdido,pɛʁ.dy
brun,marrón,bʁœ̃
porter,llevar,pɔʁ.te
jardin,jardín,ʒaʁ.dɛ̃
égal,igual,e.ɡal
expédié,enviado,ɛk.spe.dje
choisir,elegir,ʃwa.ziʁ
est tombé,ha caído,ɛ tɔ̃.be
s’adapter,adaptarse,s‿a.dap.te
débit,flujo,de.bi
juste,justo,ʒyst
banque.banco,banco,bɑ̃k
recueillir,recolectar,ʁə.kœj.iʁ
sauver,salvar,so.ve
contrôle,control,kɔ̃.tʁol
décimal,decimal,de.si.mal
oreille,oreja,ɔ.ʁɛj
autre,otro,otʁ
tout à fait,totalmente,tu a fɛ
cassé,roto,ka.se
cas,cazo,kɑ
milieu,medio,mi.ljø
tuer,matar,tɥe
fils,hijo,fis
lac,lago,lak
moment,momento,mɔ.mɑ̃
échelle,escala,e.ʃɛl
fort,fuerte,fɔʁ
printemps,primavera,pʁɛ̃.tɑ̃
observer,observar,ɔb.sɛʁ.ve
enfant,niño,ɑ̃.fɑ̃
droit,derecho,dʁwa
consonne,consonante,kɔ̃.sɔn
nation,nación,na.sjɔ̃
dictionnaire,diccionario,di.ksjɔ.nɛʁ
lait,leche,lɛ
vitesse,velocidad,vi.tɛs
méthode,método,me.tɔd
organe,órgano,ɔʁ.ɡan
payer,pagar,pe.je
âge,edad,ɑʒ
section,sección,sɛk.sjɔ̃
robe,vestido,ʁɔb
nuage,nube,nyb
surprise,sorpresa,syʁ.pʁiz
calme,calma,kalm
pierre,piedra,pjɛʁ
minuscule,minúsculo,mi.ny.skyl
montée,subida,mɔ̃.te
frais,fresco,fʁɛ
conception,concepción,kɔ̃.sɛp.sjɔ̃
pauvres,pobres,povʁ
lot,lote,lo
expérience,experiencia,ɛk.spe.ʁjɑ̃s
bas,bajo,ba
clé,llave,kle
fer,hierro,fɛʁ
unique,único,y.nik
bâton,palo,bɑ.tɔ̃
plat,plano,pla
vingt,veinte,vɛ̃
peau,piel,po
sourire,sonreír,su.ʁiʁ
pli,doble,pli
trou,agujero,tru
sauter,saltar,so.te
bébé,bebé,be.be
huit,ocho,wit
village,pueblo,vilaʒ
se rencontrent,se encuentran,sə ʁɑ̃.kɔ̃tʁ
racine,raíz,ʁa.sin
acheter,comprar,a.ʃə.te
augmenter,aumentar,oɡ.mɑ̃.te
résoudre,resolver,ʁe.zudʁ
métal,metal,me.tal
si,sí,si
pousser,empujar,pu.se
sept,siete,sɛt
paragraphe,párrafo,pa.ʁa.f
troisième,tercero,tʁwa.zjɛm
doit,deber,dwa
en attente,pendiente,ɑ̃ a.tɑ̃d
cheveux,pelo,ʃə.vø
décrire,describir,de.kʁiʁ
cuisinier,cocinero,kɥi.zi.nje
étage,piso,e.taʒ
chaque,cada,ʃak
résultat,resultado,ʁe.zyl.ta
brûler,quemar,bʁy.le
colline,colina,ko.lin
coffre-fort,caja fuerte,kɔfʁ fɔʁ
chat,gato,ʃa
siècle,siglo,sjɛkl
envisager,considerar,ɑ̃.vi.za.ʒe
type,tipo,tip
droit,derecho,dʁwa
peu,poco,pø
côte,costa,kot
copie,copia,ko.pi
phrase,frase,fʁaz
silencieux,silencioso,si.lɑ̃.sjø
haut,alto,o
sable,arena,sɑbl
sol,suelo,sɔl
rouleau,rollo,ʁu.lo
température,temperatura,tɑ̃.pɛ.ʁa.tyʁ
doigt,dedo,dwa
industrie,industria,ɛ̃.dys.tʁi
valeur,valor,va.lœʁ
lutte,lucha,lyt
mensonge,mentira,mɑ̃.sɔ̃ʒ
battre,golpear,batʁ
exciter,excitar,ɛk.si.te
naturel,natural,na.ty.ʁɛl
vue,vista,vy
sens,sentido,sɑ̃s
capital,capital,ka.pi.tal
ne sera pas,no será,nə sə.ʁa pa
chaise,silla,ʃɛz
danger,peligro,dɑ̃.ʒe
fruit,fruta,fʁɥi
riche,rico,ʁiʃ
épais,grueso,epɛ
soldat,soldado,sɔl.da
processus,proceso,pʁɔ.sɛ.sys
fonctionner,funcionar,fɔ̃k.sjɔ.ne
pratique,práctico,pʁa.tik
séparé,separado,se.pa.ʁe
difficile,difícil,di.fi.sil
médecin,médico,me.də.sɛ̃
s’il vous plaît,por favor,sil vu plɛ
protéger,proteger,pʁɔ.te.ʒe
midi,mediodía,mi.di
récolte,cosecha,ʁe.kɔlt
moderne,moderno,mɔ.dɛʁn
élément,elemento,e.le.mɑ̃
frapper,golpear,fʁa.pe
étudiant,estudiante,e.ty.djɑ̃
coin,esquina,kwɛ̃
partie,parte,paʁ.ti
alimentation,alimentación,a.li.mɑ̃.ta.sjɔ̃
dont,cuyo,dɔ̃
localiser,localizar,lo.ka.li.ze
anneau,anillo,a.no
caractère,carácter,ka.ʁak.tɛʁ
insecte,insecto,ɛ̃.sɛkt
pris,tomado,pʁi
période,periodo,pe.ʁjɔd
indiquer,indicar,ɛ̃.di.ke
radio,radio,ʁa.djo
rayon,radiante,ʁɛ.jɔ̃
atome,átomo,a.tɔm
humain,humano,ymɛ̃
histoire,historia,is.twaʁ
effet,efecto,e.fɛ
électrique,eléctrico,e.lɛk.tʁik
attendre,esperar,a.tɑ̃dʁ
os,hueso,ɔ
rail,riel,ʁaj
imaginer,imaginar,i.ma.ʒi.ne
fournir,suministrar,fuʁ.niʁ
se mettre d’accord,ponerse de acuerdo,sə mɛtʁ da.kɔʁ
ainsi,así,ɛ̃.si
doux,suave,du
femme,mujer,fam
capitaine,capitán,ka.pi.tɛn
deviner,adivinar,də.vi.ne
nécessaire,necesario,ne.sɛ.sɛʁ
net,neto,net
aile,ala,ɛl
créer,crear,kʁe.e
voisin,vecino,vwa.zɛ̃
lavage,lavado,la.vaʒ
chauve-souris,murciélago,ʃov.su.ʁi
plutôt,preferiblemente,ply.to
foule,multitud,ful
blé,trigo,ble
comparer,comparar,kɔ̃.pa.ʁe
poème,poema,pɔ.ɛm
chaîne,cadena,ʃɛn
cloche,campana,klɔʃ
dépendre,depender,de.pɑ̃dʁ
viande,carne,vjɑ̃d
rub,frotar,ʁyb
tube,tubo,tyb
célèbre,famoso,se.lɛbʁ
dollar,dólar,dɔ.laʁ
courant,corriente,ku.ʁɑ̃
peur,miedo,pœʁ
vue,vista,vy
mince,delgado,mɛ̃s
triangle,tríangulo,tʁi.jɑ̃.ɡyl
planète,planeta,planɛt
se dépêcher,apresurarse,sə de.pe.ʃe
chef,jefe,ʃɛf
colonie,colonia,ko.lɔ.ni
horloge,reloj,ɔʁ.lɔʒ
mine,mina,min
lien,ligamento,li.jɛ̃
entrer,entrar,ɑ̃.tʁe
majeur,mayor,ma.ʒœʁ
frais,fresco,fʁɛ
recherche,investigación,ʁə.ʃɛʁʃ
envoyer,enviar,ɑ̃.vwa.je
jaune,amarillo,ʒon
pistolet,pistola,pis.tɔ.lɛ
permettre,permitir,pɛʁ.mɛtʁ
impression,impresión,ɛ̃.pʁɛ.sjɔ̃
mort,muerte,mɔʁ
place,lugar,plas
désert,desierto,de.zɛʁ
costume,traje,kɔs.tym
courant,corriente,ku.ʁɑ̃
ascenseur,ascensor,a.sɑ̃.sœʁ
rose,rosa,ʁoz
arriver,llegar,a.ʁi.ve
maître,maestro,mɛtʁ
piste,pista,pist
mère,madre,mɛʁ
rivage,orilla,ʁi.vaʒ
division,división,di.vi.zjɔ̃
feuille,hoja,fœj
substance,sustancia,syb.stɑ̃s
favoriser,favorecer,fa.vɔ.ʁe.se
relier,conectar,rə.lje
poste,puesto,pɔst
passer,pasar,pa.se
corde,cuerda,kɔʁd
graisse,grasa,gʁɛs
heureux,feliz,œ.ʁø
original,original,ɔ.ʁi.ʒi.nal
part,parte,paʁt
station,estación,sta.sjɔ̃
papa,papá,papa
pain,pan,pɛ̃
charger,cargar,ʃaʁ.ʒe
propre,limpio,pʁɔpʁ
bar,bar,baʁ
proposition,propuesta,pʁɔ.pɔ.zi.sjɔ̃
segment,segmento,sɛɡ.mɑ̃
esclave,esclavo,ɛsklav
canard,pato,ka.naʁ
instant,instante,ɛ̃.stɑ̃t
marché,mercado,maʁ.ʃe
degré,grado,də.ɡʁe
peupler,poblar,pø.ple
poussin,pollito,pusɛ̃
cher,caro,ʃɛʁ
ennemi,enemigo,ɛnəmi
répondre,responder,ʁepɔ̃dʁ
boisson,bebida,bwazɔ̃
se produire,ocurrir,sə pʁɔdyiʁ
support,soporte,sypɔʁ
discours,discurso,diskuʁ
nature,naturaleza,na.tyʁ
gamme,gama,gam
vapeur,vapor,vapœʁ
mouvement,movimiento,muvmɑ̃
chemin,camino,ʃəmɛ̃
liquide,líquido,likid
enregistrer,grabar,ɑ̃ʁeʒiste
signifiait,significaba,siɲifje
quotient,cociente,kɔsjɑ̃
dents,dientes,dɑ̃
coquille,concha,kɔkij
cou,cuello,ku
oxygène,oxígeno,ɔksiʒɛn
sucre,azúcar,sy.kʁ
décès,defunción,de.sɛ
assez,lo suficiente,asɛ
compétence,competencia,kɔ̃petɑ̃s
femmes,mujeres,fam
saison,temporada,sɛzɔ̃
solution,solución,sɔlysjɔ̃
aimant,imán,ɛmɑ̃
argent,dinero,arʒɑ̃
merci,gracias,mɛʁsi
branche,rama,bʁɑ̃ʃ
rencontre,encuentro,ʁɑ̃kɔ̃tʁ
suffixe,sufijo,syfiks
particulièrement,particularmente,paʁtikyljɛʁmɑ̃
figue,higo,fiɡ
peur,miedo,pœʁ
énorme,enorme,enɔʁm
sœur,hermana,sœʁ
acier,acero,asje
discuter,discutir,diskyte
avant,antes,avɑ̃
similaire,similar,similɛʁ
guider,guiar,ɡide
expérience,experiencia,ɛkspeʁjɑ̃s
score,puntuación,skɔʁ
pomme,manzana,pɔm
acheté,comprado,ʃte
LED,LED,ɛl.e.de
pas,no,pa
manteau,abrigo,mɑ̃to
masse,masa,mɑs
carte,tarjeta,kaʁt
bande,tira,band
corde,cuerda,kɔʁd
glissement,deslizamiento,ɡlis.mɑ̃
gagner,ganar,ɡaɲe
rêver,soñar,ʁɛve
soirée,noche,sɔʁe
condition,condición,kɔ̃dɪsjɔ̃
alimentation,alimentación,alimɑ̃tasjɔ̃
outil,herramienta,u.til
total,total,to.tal
de base,de base,dəbaz
odeur,olor,ɔdœʁ
vallée,valle,va.le
ni,ni,ni
double,doble,dubl
siège,asiento,sjɛʒ
continuer,continuar,kɔ̃tinɥe
bloc,bloque,blok
graphique,gráfico,ɡʁafik
chapeau,sombrero,ʃapo
vendre,vender,vɑ̃dʁ
succès,éxito,syksɛs
entreprise,empresa,ɑ̃tʁəpʁiz
soustraire,restar,sustʁɛʁ
événement,evento,events
particulier,particular,paʁtikylje
accord,acuerdo,akɔʁ
baignade,baño,bajnad
terme,término,teʁm
opposé,opuesto,ɔpoze
femme,mujer,fam
chaussure,zapato,ʃosyʁ
épaule,hombro,epɔl
propagation,propagación,pʁɔpaɡasjɔ̃
organiser,organizar,ɔʁɡanize
camp,campo,kɑ̃
inventer,inventar,ɛ̃vɑ̃te
coton,algodón,kɔtɔ̃
né,nacido,ne
déterminer,determinar,detɛʁmine
litre,litro,litr
neuf,nueve,nœf
camion,camión,kamjɔ̃
bruit,ruido,bʁɥi
niveau,nivel,nivo
chance,oportunidad,ʃɑ̃s
recueillir,recolectar,ʁəkœjiʁ
boutique,tienda,butik
tronçon,sección,tʁɔ̃sɔ̃
jeter,tirar,ʒəte
éclat,brillo,ekla
propriété,propiedad,pʁɔpʁijete
colonne,columna,kɔlɔn
molécule,molécula,mɔlekyl
sélectionner,seleccionar,seleksjɔne
mal,mal,mal
gris,gris,ɡʁi
répétition,repetición,ʁepetisjɔ̃
exiger,exigir,ɛɡziʒe
large,ancho,laʁʒ
préparer,preparar,pʁepaʁe
sel,sal,sɛl
nez,nariz,ne
pluriel,plural,plyʁjɛl
colère,enojo,kɔlɛʁ
revendication,reclamación,ʁəvɑ̃dikasjɔ̃